front3
577
195
181
389
7
411
170
532
722
37
206
540
298
271
266
159
242
285
679
247
518
289
391
349
236
85
61
731
591
97
739
471
247
602
285
609
278
421
103
58
73
7
193
615
18
13
283
36
290
318
248
367
336
377
93
368
154
189
564
127
636
614
575
510
95
876
264
285
258
294
515
259
4
116
43
261
164
323
255
392
733
210
149
135
355
239
625
589
669
43
512
888
148
137
881
643
206
31
480
45
471
384
186
594
323
464
340
832
403
429
432
310
130
527
273
131
64
318
7
106
624
373
616
303
831
165
180
611
172
345
115
61
584
226
626
121
8
573
766
20
324
450
128
66
511
304
366
513
40
824
692
194
493
334
366
538
552
169
251
111
382
238
8
390
855
426
312
625
31
246
140
181
28
106
134
175
209
260
919
664
789
443
522
912
786
722
839
158
996
971
725
300
893
834
287
549
817
736
778
859
738
985
834
644
942
786
979
629
740
648
458
964
361
817
302
666
307
174
794
54
620
843
306
143
755
902
838
861
605
653
804
828
776
741
598
464
757
220
725
712
931
533
362
882
489
430
726
328
952
552
132
382
318
617
640
806
625
920
947
847
912
983
901
864
884
713
949
476
930
959
883
999
910
779
412
913
948
307
930
576
392
726
539
512
670
903
530
901
507
553
357
980
654
787
720
870
388
947
799
495
836
626
961
425
971
726
647
679
302
386
835
489
878
218
396
949
973
57
918
560
464
807
663
890
596
873
682
976
885
280
583
335
966
983
734
609
804
775
975
403
228
546
877
530
699
999
532
264
250
238
241
757
457
918
435
403
