number,,front3,,tail3,,tail2
526402,,713,,26,,65
884178,,949,,235,,21
408147,,476,,253,,2
997777,,930,,406,,57
805540,,959,,65,,54
955756,,883,,57,,83
511052,,999,,104,,15
731198,,910,,384,,28
724533,,779,,21,,85
536960,,412,,5,,62
218756,,913,,221,,12
116556,,948,,52,,12
622953,,307,,160,,51
351276,,930,,162,,88
562370,,576,,346,,46
406417,,392,,44,,5
54136,,726,,133,,85
825988,,539,,213,,44
814931,,512,,36,,1
593331,,670,,209,,96
656037,,903,,357,,97
481746,,530,,384,,27
610089,,901,,121,,55
281062,,507,,185,,23
884112,,553,,153,,49
334380,,357,,306,,24
181752,,980,,86,,9
813993,,654,,129,,43
191100,,787,,653,,59
621377,,720,,310,,42
488372,,870,,3,,2
17422,,388,,75,,66
354656,,947,,96,,11
911097,,799,,448,,64
210008,,495,,182,,10
180387,,836,,24,,34
480239,,626,,450,,68
500104,,961,,200,,73
444874,,425,,298,,81
480012,,971,,8,,12
360371,,726,,40,,6
211743,,647,,154,,96
959517,,679,,40,,22
364222,,302,,229,,97
215227,,386,,374,,97
133707,,835,,26,,3
186312,,489,,403,,14
73577,,878,,413,,67
994304,,218,,337,,87
685141,,396,,142,,5
776980,,949,,188,,59
55986,,973,,72,,58
689140,,57,,366,,85
258487,,918,,122,,0
169387,,560,,249,,6
202912,,464,,166,,48
15865,,807,,435,,32
462933,,663,,292,,96
154986,,890,,239,,92
816,,596,,5,,94
207542,,873,,107,,66
930456,,682,,44,,15
777661,,976,,97,,26
111411,,885,,362,,54
294452,,280,,222,,11
368415,,583,,7,,33
816578,,335,,44,,50
268812,,966,,63,,36
553091,,983,,224,,67
38730,,734,,115,,93
534533,,609,,15,,69
743212,,804,,266,,25
218596,,775,,94,,22
74114,,975,,305,,25
205434,,403,,13,,5
2612,,228,,68,,20
272028,,546,,285,,76
431277,,877,,324,,98
882911,,530,,204,,67
12377,,699,,378,,56
695993,,999,,27,,9
380377,,532,,161,,36
850348,,264,,136,,11
257374,,250,,344,,41
943671,,238,,96,,50
729111,,241,,339,,75
414875,,757,,370,,35
329231,,457,,120,,69
453011,,918,,1,,62
982800,,435,,8,,64
12653,,403,,124,,71
74946,,,,77,,33
936685,,,,56,,5
137054,,,,344,,80
212684,,,,311,,26
556010,,,,413,,81
595411,,,,267,,81
513501,,,,425,,96
113410,,,,418,,18
562481,,,,130,,73
927907,,,,213,,88
32988,,,,158,,48
430667,,,,90,,76
499336,,,,247,,45
331810,,,,293,,69
476207,,,,234,,93
429924,,,,6,,29
527384,,,,105,,77
565151,,,,146,,76
393194,,,,424,,41
836393,,,,242,,5
232897,,,,585,,25
430374,,,,442,,81
405105,,,,13,,63
622780,,,,22,,93
876763,,,,1,,85
742425,,,,294,,61
